file,kmeans_cluster,gmm_cluster,hdbscan_cluster,embedding_file
qaoa_indep_none_10_s9.qasm,1,1,14,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s0.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s1.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s10.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s11.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s12.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s13.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s14.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s15.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s16.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s17.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s18.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s19.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s2.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s20.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s21.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s22.qasm,1,1,-1,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s23.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s24.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s25.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s26.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s27.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s28.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s29.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s3.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s30.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s31.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s32.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s33.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s34.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s35.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s36.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s37.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s38.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s39.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s4.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s40.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s41.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s42.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s43.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s44.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s45.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s46.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s47.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s48.qasm,1,1,15,gat_aug_dropout_and_norm_with_improved_edges_training.csv
